"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/YourDonations.box.jsx", "JavaScript JSX", 0, 0, 194, 0, 0, 0, 0, 2, 16, 212
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/about2.module.css", "CSS", 0, 0, 0, 0, 183, 0, 0, 0, 29, 212
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/donationsboxlist.module.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 2, 8, 58
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/history.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/navbar2.module.css", "CSS", 0, 0, 0, 0, 118, 0, 0, 8, 19, 145
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/notifiactions.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/notification.module.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/postfoodpage.module.css", "CSS", 0, 0, 0, 0, 75, 0, 0, 0, 12, 87
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/yourdonationsbox.module.css", "CSS", 0, 0, 0, 0, 246, 0, 0, 2, 45, 293
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/App.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 2, 6, 37
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Authentication/Authentication-Components/LogIn-page.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, 0, 0, 1, 20, 176
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Authentication/Authentication-Components/Register-page.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 1, 17, 171
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Authentication/authentication-components.css.mdules/login-page.module.css", "CSS", 0, 0, 0, 0, 138, 0, 0, 8, 25, 171
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Authentication/authentication-components.css.mdules/register-page.module.css", "CSS", 0, 0, 0, 0, 138, 0, 0, 8, 25, 171
